序号,样本点数据
388,2.016986228
389,2.015665753
390,2.011770692
391,2.013060436
392,2.008534275
393,2.010948207
394,2.005991249
395,2.016837323
396,2.011810742
397,2.010546043
398,2.010438441
399,2.011046115
400,2.012520534
401,2.011852451
402,2.011870605
403,2.010132511
404,2.011127232
405,2.009480143
406,2.009768216
407,2.008715695
408,2.007439813
409,2.007225746
410,2.00663393
411,2.00623836
412,2.006945271
413,2.004878628
414,2.00436
415,2.003947208
416,2.003288424
417,2.002699809
418,1.999754925
419,2.000771414
420,2.001101394
421,1.999502801
422,1.999340034
423,1.999524059
424,1.998475298
425,1.999794139
426,1.999268569
427,1.998733239
428,2.000002802
429,2.001765481
430,1.999544017
431,1.998881153
432,1.99804226
433,1.998329396
434,1.997759547
435,1.998234549
436,1.997516422
437,1.998478752
438,1.997001253
439,1.996940049
440,2.000436511
441,1.992987879
442,1.993191989
443,1.9957534
444,1.992192632
445,1.993251579
446,1.993744927
447,1.992413285
448,1.993202573
449,1.993126241
450,1.993354025
451,1.994441732
452,1.994950356
453,1.995506519
454,1.994479387
455,1.994510606
456,1.994710589
457,1.994039933
458,1.996391799
459,1.994601085
460,1.99436078
461,1.994739609
462,1.993063685
463,1.994329866
464,1.993519387
465,1.994448033
466,1.993523168
467,1.991362408
468,1.99062445
469,1.986481931
470,1.988629032
471,1.98503251
472,1.983722219
473,1.993181545
474,1.992410272
475,1.993199062
476,1.993262396
477,1.994050237
478,1.992926561
479,1.992970063
480,1.994296067
481,1.994139005
482,1.993485797
483,1.993174401
484,1.99317377
485,1.992091836
486,1.993552593
487,1.994905756
488,1.993625679
489,1.99396901
490,1.989714138
491,1.990753041
492,1.984225867
493,1.987980367
494,1.990226269
495,1.985011661
496,1.983223692
497,1.986876689
498,1.987389895
499,1.987621462
500,1.94325872
501,1.944168492
502,1.943796771
503,1.943521585
504,1.944156911
505,1.943288335
506,1.942584988
507,1.943423703
508,1.942833027
509,1.942598824
510,1.942463947
511,1.9418828
512,1.942674782
513,1.942301358
514,1.941726417
515,1.943100189
516,1.940712248
517,1.935560723
518,1.929604785
519,1.936124316
520,1.932750625
521,1.937651074
522,1.937694356
523,1.93927944
524,1.939270106
525,1.939950596
526,1.940133388
527,1.940982615
528,1.941262243
529,1.940529894
530,1.940037671
531,1.940097989
532,1.940430062
533,1.940236951
534,1.940880676
535,1.940707174
536,1.940562934
537,1.940383126
538,1.941133489
539,1.940981864
540,1.940285465
541,1.93641643
542,1.930589802
543,1.93323124
544,1.93236449
545,1.931776092
546,1.936843869
547,1.93667366
548,1.938596324
549,1.938328901
550,1.939523255
551,1.940249343
552,1.939257968
553,1.939694119
554,1.939766662
555,1.939272199
556,1.939173527
557,1.939623837
558,1.938456062
559,1.93863275
560,1.93897431
561,1.938563444
562,1.938964149
563,1.939727198
564,1.939044082
565,1.937700868
566,1.938788018
567,1.938552383
568,1.933942767
569,1.935717334
570,1.935512027
571,1.935653459
572,1.936243535
573,1.937369946
574,1.937501192
575,1.93786167
576,1.938789025
577,1.938394443
578,1.937937216
579,1.937659171
580,1.938189693
581,1.937451175
582,1.937725268
583,1.938571006
584,1.939133837
585,1.938209275
586,1.93785785
